pid,laddr,raddr,status
8672,192.168.0.10@59729,104.96.98.228@443,CLOSE_WAIT
8672,192.168.0.10@59736,23.197.99.245@443,CLOSE_WAIT
8672,192.168.0.10@59750,54.230.143.28@443,CLOSE_WAIT
8672,192.168.0.10@59748,54.230.143.28@443,CLOSE_WAIT
8672,192.168.0.10@59728,52.73.242.248@443,CLOSE_WAIT
8672,192.168.0.10@59721,54.230.139.58@443,CLOSE_WAIT
8672,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59704,2001:4998:44:6000::1000@443,CLOSE_WAIT
8672,192.168.0.10@59726,12.129.210.52@443,ESTABLISHED
8672,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59703,2001:4998:44:6000::1000@443,ESTABLISHED
8672,192.168.0.10@59753,52.94.208.73@443,CLOSE_WAIT
8672,192.168.0.10@59730,104.96.98.228@443,CLOSE_WAIT
8672,192.168.0.10@59757,162.208.20.184@443,CLOSE_WAIT
8672,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59715,2001:4998:c:293f::7000@443,CLOSE_WAIT
8672,192.168.0.10@59727,52.73.242.248@443,CLOSE_WAIT
8672,192.168.0.10@59725,12.129.210.52@443,ESTABLISHED
8672,192.168.0.10@59759,74.6.34.27@443,CLOSE_WAIT
8672,192.168.0.10@59756,162.208.20.184@443,CLOSE_WAIT
8672,192.168.0.10@59734,169.44.162.192@443,CLOSE_WAIT
8672,192.168.0.10@59706,98.138.4.253@443,ESTABLISHED
8672,192.168.0.10@59755,52.94.208.73@443,CLOSE_WAIT
8672,192.168.0.10@59744,54.192.147.229@443,CLOSE_WAIT
8672,192.168.0.10@59708,98.137.170.33@443,CLOSE_WAIT
3580,127.0.0.1@49686,127.0.0.1@49687,ESTABLISHED
3580,127.0.0.1@49701,127.0.0.1@49702,ESTABLISHED
3580,127.0.0.1@49702,127.0.0.1@49701,ESTABLISHED
3580,127.0.0.1@49668,127.0.0.1@49669,ESTABLISHED
3580,127.0.0.1@49682,127.0.0.1@49681,ESTABLISHED
3580,127.0.0.1@49714,127.0.0.1@49713,ESTABLISHED
3580,127.0.0.1@49669,127.0.0.1@49668,ESTABLISHED
3580,127.0.0.1@49705,127.0.0.1@49706,ESTABLISHED
3580,127.0.0.1@49712,127.0.0.1@49711,ESTABLISHED
3580,127.0.0.1@49715,127.0.0.1@49716,ESTABLISHED
3580,127.0.0.1@49695,127.0.0.1@49696,ESTABLISHED
3580,127.0.0.1@49706,127.0.0.1@49705,ESTABLISHED
3580,127.0.0.1@49670,127.0.0.1@49671,ESTABLISHED
3580,127.0.0.1@49693,127.0.0.1@49692,ESTABLISHED
3580,127.0.0.1@49690,127.0.0.1@49691,ESTABLISHED
3580,127.0.0.1@49689,127.0.0.1@49688,ESTABLISHED
3580,127.0.0.1@49698,127.0.0.1@49697,ESTABLISHED
3580,127.0.0.1@49711,127.0.0.1@49712,ESTABLISHED
3580,127.0.0.1@49775,127.0.0.1@49776,ESTABLISHED
3580,127.0.0.1@49707,127.0.0.1@49708,ESTABLISHED
3580,127.0.0.1@49703,127.0.0.1@49704,ESTABLISHED
3580,127.0.0.1@49697,127.0.0.1@49698,ESTABLISHED
3580,127.0.0.1@49713,127.0.0.1@49714,ESTABLISHED
3580,127.0.0.1@49708,127.0.0.1@49707,ESTABLISHED
3580,127.0.0.1@49716,127.0.0.1@49715,ESTABLISHED
3580,127.0.0.1@49710,127.0.0.1@49709,ESTABLISHED
3580,127.0.0.1@49692,127.0.0.1@49693,ESTABLISHED
3580,127.0.0.1@49696,127.0.0.1@49695,ESTABLISHED
3580,127.0.0.1@49704,127.0.0.1@49703,ESTABLISHED
3580,127.0.0.1@49700,127.0.0.1@49699,ESTABLISHED
3580,127.0.0.1@49671,127.0.0.1@49670,ESTABLISHED
3580,127.0.0.1@49691,127.0.0.1@49690,ESTABLISHED
3580,127.0.0.1@49688,127.0.0.1@49689,ESTABLISHED
3580,127.0.0.1@49681,127.0.0.1@49682,ESTABLISHED
3580,127.0.0.1@49687,127.0.0.1@49686,ESTABLISHED
3580,127.0.0.1@49709,127.0.0.1@49710,ESTABLISHED
3580,127.0.0.1@49776,127.0.0.1@49775,ESTABLISHED
3580,127.0.0.1@49699,127.0.0.1@49700,ESTABLISHED
2932,192.168.0.10@59294,23.197.50.187@80,CLOSE_WAIT
2932,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59579,2001:559:19:6088::31d@443,CLOSE_WAIT
2932,192.168.0.10@59354,23.197.50.187@80,CLOSE_WAIT
2932,192.168.0.10@59352,23.197.50.187@80,CLOSE_WAIT
2932,192.168.0.10@58937,23.197.50.186@80,CLOSE_WAIT
2932,192.168.0.10@59355,23.197.50.187@80,CLOSE_WAIT
2932,192.168.0.10@59324,184.25.204.66@80,CLOSE_WAIT
2932,192.168.0.10@59322,184.25.204.66@80,CLOSE_WAIT
2932,192.168.0.10@59321,184.25.204.66@80,CLOSE_WAIT
2932,192.168.0.10@59295,23.197.50.187@80,CLOSE_WAIT
2932,192.168.0.10@59298,23.197.50.187@80,CLOSE_WAIT
2932,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59318,2001:559:19:608c::31d@443,CLOSE_WAIT
2932,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59761,2001:559:19:608c::31d@443,ESTABLISHED
2932,192.168.0.10@59206,184.25.204.66@80,CLOSE_WAIT
2932,192.168.0.10@55967,23.197.50.186@80,CLOSE_WAIT
2932,192.168.0.10@59323,184.25.204.66@80,CLOSE_WAIT
2932,192.168.0.10@59559,23.197.50.187@80,CLOSE_WAIT
2932,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59308,2001:559:19:608c::31d@443,CLOSE_WAIT
2932,192.168.0.10@59560,23.197.50.187@80,CLOSE_WAIT
2932,192.168.0.10@59144,23.197.50.186@80,CLOSE_WAIT
2932,192.168.0.10@59293,23.197.50.187@80,CLOSE_WAIT
2932,2601:646:8981:3af0:1ce3:d3eb:558:9e28@59496,2001:559:19:6088::31d@443,CLOSE_WAIT
2932,192.168.0.10@55960,23.197.50.186@80,CLOSE_WAIT
2932,192.168.0.10@59351,23.197.50.187@80,CLOSE_WAIT
